Date,Value,21_Month_MA
1928-11-01,23.06,17.77857142857143
1928-12-01,23.15,18.22047619047619
1929-01-01,24.86,18.727619047619047
1929-02-01,24.99,19.217619047619046
1929-03-01,25.43,19.71952380952381
1929-04-01,25.28,20.19857142857143
1929-05-01,25.66,20.65714285714286
1929-06-01,26.15,21.095714285714287
1929-07-01,28.48,21.657619047619047
1929-08-01,30.1,22.27857142857143
1929-09-01,31.3,22.937619047619048
1929-10-01,27.99,23.435714285714287
1929-11-01,20.58,23.59095238095238
1929-12-01,21.4,23.740952380952383
1930-01-01,21.71,23.850952380952382
1930-02-01,23.07,23.997142857142858
1930-03-01,23.94,24.231428571428573
1930-04-01,25.46,24.53142857142857
1930-05-01,23.94,24.729523809523812
1930-06-01,21.52,24.746190476190474
1930-07-01,21.06,24.72047619047619
1930-08-01,20.79,24.612380952380953
1930-09-01,20.78,24.49952380952381
1930-10-01,17.92,24.169047619047618
1930-11-01,16.62,23.77047619047619
1930-12-01,15.51,23.298095238095236
1931-01-01,15.98,22.855238095238093
1931-02-01,17.2,22.452380952380953
1931-03-01,17.53,22.04190476190476
1931-04-01,15.86,21.440952380952382
1931-05-01,14.33,20.69
1931-06-01,13.87,19.86
1931-07-01,14.33,19.20952380952381
1931-08-01,13.9,18.89142857142857
1931-09-01,11.83,18.435714285714287
1931-10-01,10.25,17.89
1931-11-01,10.39,17.286190476190477
1931-12-01,8.44,16.548095238095236
1932-01-01,8.3,15.730952380952383
1932-02-01,8.23,14.982857142857142
1932-03-01,8.26,14.351428571428574
1932-04-01,6.28,13.647619047619049
1932-05-01,5.51,12.92
1932-06-01,4.77,12.157619047619047
1932-07-01,5.01,11.542857142857141
1932-08-01,7.53,11.11
1932-09-01,8.26,10.764761904761905
1932-10-01,7.12,10.342857142857143
1932-11-01,7.05,9.85952380952381
1932-12-01,6.82,9.349523809523808
1933-01-01,7.09,8.931904761904761
1933-02-01,6.25,8.547142857142855
1933-03-01,6.23,8.183333333333334
1933-04-01,6.89,7.829047619047619
1933-05-01,8.87,7.58952380952381
1933-06-01,10.39,7.520952380952381
1933-07-01,11.23,7.567619047619049
1933-08-01,10.67,7.580952380952381
1933-09-01,10.58,7.682857142857143
1933-10-01,9.55,7.742380952380953
1933-11-01,9.78,7.816190476190475
1933-12-01,9.97,7.897619047619047
1934-01-01,10.54,8.100476190476192
1934-02-01,11.32,8.377142857142857
1934-03-01,10.74,8.661428571428573
1934-04-01,10.92,8.942857142857143
1934-05-01,9.81,9.051428571428572
1934-06-01,9.94,9.131428571428572
1934-07-01,9.47,9.243333333333332
1934-08-01,9.1,9.34095238095238
1934-09-01,8.88,9.439047619047619
1934-10-01,8.95,9.527619047619048
1934-11-01,9.2,9.668095238095239
1934-12-01,9.26,9.812380952380952
1935-01-01,9.26,9.925238095238095
1935-02-01,8.98,9.93047619047619
1935-03-01,8.41,9.836190476190476
1935-04-01,9.04,9.731904761904762
1935-05-01,9.75,9.688095238095238
1935-06-01,10.12,9.666190476190476
1935-07-01,10.65,9.718571428571428
1935-08-01,11.37,9.794285714285715
1935-09-01,11.61,9.872380952380952
1935-10-01,11.92,9.938095238095238
1935-11-01,13.04,10.02
1935-12-01,13.04,10.129523809523809
1936-01-01,13.76,10.264761904761905
1936-02-01,14.55,10.49047619047619
1936-03-01,14.86,10.724761904761905
1936-04-01,14.88,10.982380952380952
1936-05-01,14.09,11.22
1936-06-01,14.69,11.496666666666666
1936-07-01,15.56,11.811428571428571
1936-08-01,15.87,12.12904761904762
1936-09-01,16.05,12.452380952380953
1936-10-01,16.89,12.815714285714286
1936-11-01,17.36,13.214761904761904
1936-12-01,17.06,13.626666666666669
1937-01-01,17.59,14.033809523809524
1937-02-01,18.11,14.431904761904761
1937-03-01,18.09,14.81142857142857
1937-04-01,17.01,15.114285714285714
1937-05-01,16.25,15.346666666666666
1937-06-01,15.64,15.538571428571428
1937-07-01,16.57,15.760000000000002
1937-08-01,16.74,15.936190476190477
1937-09-01,14.37,15.99952380952381
1937-10-01,12.28,15.92904761904762
1937-11-01,11.2,15.769523809523808
1937-12-01,11.02,15.58666666666667
1938-01-01,11.31,15.416666666666664
1938-02-01,11.04,15.27142857142857
1938-03-01,10.31,15.062857142857142
1938-04-01,9.89,14.792857142857141
1938-05-01,9.98,14.512380952380951
1938-06-01,10.21,14.234285714285713
1938-07-01,12.24,14.012857142857142
1938-08-01,12.31,13.772380952380951
1938-09-01,11.75,13.519523809523808
1938-10-01,13.06,13.303809523809523
1938-11-01,13.07,13.063809523809523
1938-12-01,12.69,12.806666666666667
1939-01-01,12.5,12.591904761904763
1939-02-01,12.4,12.408571428571427
1939-03-01,12.39,12.253809523809522
1939-04-01,10.83,11.980476190476189
1939-05-01,11.23,11.71809523809524
1939-06-01,11.43,11.578095238095239
1939-07-01,11.71,11.550952380952381
1939-08-01,11.54,11.567142857142859
1939-09-01,12.77,11.65047619047619
1939-10-01,12.9,11.726190476190476
1939-11-01,12.67,11.803809523809523
1939-12-01,12.37,11.901904761904762
1940-01-01,12.3,12.016666666666666
1940-02-01,12.22,12.123333333333333
1940-03-01,12.15,12.215714285714284
1940-04-01,12.27,12.217142857142857
1940-05-01,10.58,12.134761904761906
1940-06-01,9.67,12.035714285714286
1940-07-01,9.99,11.88952380952381
1940-08-01,10.2,11.752857142857144
1940-09-01,10.63,11.654761904761905
1940-10-01,10.73,11.57047619047619
1940-11-01,10.98,11.502857142857144
1940-12-01,10.53,11.414285714285715
1941-01-01,10.55,11.400952380952381
1941-02-01,9.89,11.337142857142856
1941-03-01,9.95,11.266666666666666
1941-04-01,9.64,11.168095238095239
1941-05-01,9.43,11.067619047619047
1941-06-01,9.76,10.924285714285714
1941-07-01,10.26,10.79857142857143
1941-08-01,10.21,10.681428571428572
1941-09-01,10.24,10.58
1941-10-01,9.83,10.462380952380952
1941-11-01,9.37,10.326666666666668
1941-12-01,8.76,10.165238095238095
1942-01-01,8.93,10.006190476190477
1942-02-01,8.65,9.914285714285715
1942-03-01,8.18,9.843333333333334
1942-04-01,7.84,9.74095238095238
1942-05-01,7.93,9.632857142857144
1942-06-01,8.33,9.523333333333332
1942-07-01,8.64,9.423809523809524
1942-08-01,8.59,9.31
1942-09-01,8.68,9.221904761904764
1942-10-01,9.32,9.163333333333334
1942-11-01,9.47,9.143333333333334
1942-12-01,9.52,9.122857142857143
1943-01-01,10.09,9.144285714285715
1943-02-01,10.69,9.204285714285714
1943-03-01,11.07,9.266666666666667
1943-04-01,11.44,9.322857142857142
1943-05-01,11.89,9.402857142857142
1943-06-01,12.1,9.491428571428571
1943-07-01,12.35,9.611428571428572
1943-08-01,11.74,9.724285714285713
1943-09-01,11.99,9.878095238095238
1943-10-01,11.88,10.018571428571429
1943-11-01,11.33,10.146190476190478
1943-12-01,11.48,10.303333333333333
1944-01-01,11.85,10.494285714285715
1944-02-01,11.77,10.677142857142858
1944-03-01,12.1,10.856666666666667
1944-04-01,11.89,11.011428571428572
1944-05-01,12.1,11.178571428571429
1944-06-01,12.67,11.368571428571428
1944-07-01,13.0,11.543809523809523
1944-08-01,12.81,11.702857142857143
1944-09-01,12.6,11.84952380952381
1944-10-01,12.91,11.983809523809523
1944-11-01,12.82,12.085238095238097
1944-12-01,13.1,12.181904761904761
1945-01-01,13.49,12.279523809523809
1945-02-01,13.94,12.377142857142857
1945-03-01,13.93,12.464285714285714
1945-04-01,14.28,12.556190476190476
1945-05-01,14.82,12.702857142857143
1945-06-01,15.09,12.850476190476192
1945-07-01,14.78,12.988571428571428
1945-08-01,14.83,13.155238095238095
1945-09-01,15.84,13.362857142857143
1945-10-01,16.5,13.584285714285713
1945-11-01,17.04,13.835238095238093
1945-12-01,17.33,14.084285714285713
1946-01-01,18.02,14.376190476190475
1946-02-01,18.07,14.66047619047619
1946-03-01,17.53,14.891904761904764
1946-04-01,18.66,15.161428571428571
1946-05-01,18.7,15.44190476190476
1946-06-01,18.58,15.726666666666667
1946-07-01,18.05,15.97142857142857
1946-08-01,17.7,16.203809523809525
1946-09-01,15.09,16.298571428571428
1946-10-01,14.75,16.358571428571427
1946-11-01,14.69,16.39428571428571
1946-12-01,15.13,16.45142857142857
1947-01-01,15.21,16.495714285714286
1947-02-01,15.8,16.542380952380952
1947-03-01,15.16,16.545714285714286
1947-04-01,14.6,16.537142857142857
1947-05-01,14.34,16.513809523809524
1947-06-01,14.84,16.466190476190473
1947-07-01,15.77,16.431428571428572
1947-08-01,15.46,16.356190476190474
1947-09-01,15.06,16.24809523809524
1947-10-01,15.45,16.125714285714285
1947-11-01,15.27,15.992380952380953
1947-12-01,15.03,15.873333333333331
1948-01-01,14.83,15.69095238095238
1948-02-01,14.1,15.471904761904764
1948-03-01,14.3,15.268095238095238
1948-04-01,15.4,15.141904761904764
1948-05-01,16.15,15.068095238095239
1948-06-01,16.82,15.150476190476192
1948-07-01,16.42,15.229999999999999
1948-08-01,15.94,15.289523809523809
1948-09-01,15.76,15.319523809523812
1948-10-01,16.19,15.366190476190477
1948-11-01,15.29,15.341904761904763
1948-12-01,15.19,15.343333333333332
1949-01-01,15.36,15.379523809523809
1949-02-01,14.77,15.399999999999999
1949-03-01,14.91,15.403333333333334
1949-04-01,14.89,15.36142857142857
1949-05-01,14.78,15.32904761904762
1949-06-01,13.97,15.277142857142858
1949-07-01,14.76,15.244285714285715
1949-08-01,15.29,15.245238095238093
